"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","10nF","~","Rumblesan_Standard_Parts:C_Rect_L7.0mm_W2.5mm_P5.00mm","1",""
"C2,C3,C6,C7,C8,C10,C13,C16","100nF","~","Rumblesan_Standard_Parts:C_Rect_L7.0mm_W2.5mm_P5.00mm","8",""
"C4,C12","220pF","~","Capacitor_THT:C_Rect_L7.0mm_W4.5mm_P5.00mm","2",""
"C5,C15,C17","560pF","~","Rumblesan_Standard_Parts:C_Rect_L7.0mm_W2.5mm_P5.00mm","3",""
"C9,C11,C14,C18","22pF","~","Rumblesan_Standard_Parts:C_Rect_L7.0mm_W2.5mm_P5.00mm","4",""
"C19,C20","10uF","~","Rumblesan_Standard_Parts:CP_Radial_D5.0mm_P2.00mm","2",""
"C21,C22","5pF","~","Rumblesan_Standard_Parts:C_Rect_L7.0mm_W2.5mm_P5.00mm","2",""
"D1,D2,D3,D4,D6,D9,D10","1N4148","~","Rumblesan_Standard_Parts:D_DO-35_SOD27_P7.62mm_Horizontal","7",""
"D5,D11","1N5818","~","Rumblesan_Standard_Parts:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D7,D8","6v8","~","Rumblesan_Standard_Parts:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"D12","1N4148","~","Rumblesan_Standard_Parts:D_DO-35_SOD27_P7.62mm_Horizontal","1","DNP"
"J1,J3,J4,J5,J6,J7,J8,J9,J10,J11","AudioJack2_SwitchT","~","Rumblesan_Audio_Connectors:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","10",""
"J2,J13","Conn_01x08_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","2",""
"J12,J14","Conn_01x08_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","2",""
"J15","Conn_02x05_Odd_Even","","Rumblesan_Eurorack_Power:Eurorack_Power_IDC-Header_2x05_P2.54mm_Vertical","1",""
"JP1,JP2,JP3","Jumper_2_Open","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","3","DNP"
"R1,R2,R3,R4","330r","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R5,R6,R7,R9,R19,R20,R21,R24,R31,R35","100k","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","10",""
"R8","1m5","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R10","330k","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R11,R13,R14,R16,R17,R18,R25,R28,R29,R30,R32,R34","33k","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","12",""
"R12","270k","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R15,R26,R27","510r","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"R22","220k","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R23","330k","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","DNP"
"R33","150k","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R36","100k","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","DNP"
"R37","33k","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","DNP"
"R38","47k","~","Rumblesan_Standard_Parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RV1,RV4","10kA","http://www.taiwanalpha.com/downloads?target=products&id=113","Rumblesan_Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","2",""
"RV2,RV3,RV5,RV6","10kB","http://www.taiwanalpha.com/downloads?target=products&id=113","Rumblesan_Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","4",""
"RV7","2k","~","Rumblesan_Potentiometer_THT:Potentiometer_Vishay_T93YB_Vertical","1",""
"U1","TL072","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-8_W7.62mm_Socket","1",""
"U2,U4","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm_Socket","2",""
"U3","SSI2164","http://www.soundsemiconductor.com/downloads/ssi2164datasheet.pdf","Package_DIP:DIP-16_W7.62mm_Socket","1",""
